year,city,country,avg_temp
1743,Barcelona,Spain,13.81
1744,Barcelona,Spain,16.98
1745,Barcelona,Spain,10.78
1746,Barcelona,Spain,
1747,Barcelona,Spain,
1748,Barcelona,Spain,
1749,Barcelona,Spain,
1750,Barcelona,Spain,16.52
1751,Barcelona,Spain,16.78
1752,Barcelona,Spain,13.09
1753,Barcelona,Spain,16.17
1754,Barcelona,Spain,16.09
1755,Barcelona,Spain,15.80
1756,Barcelona,Spain,16.11
1757,Barcelona,Spain,15.88
1758,Barcelona,Spain,15.04
1759,Barcelona,Spain,16.19
1760,Barcelona,Spain,15.91
1761,Barcelona,Spain,16.25
1762,Barcelona,Spain,16.13
1763,Barcelona,Spain,15.65
1764,Barcelona,Spain,16.21
1765,Barcelona,Spain,16.19
1766,Barcelona,Spain,16.06
1767,Barcelona,Spain,15.97
1768,Barcelona,Spain,15.49
1769,Barcelona,Spain,15.94
1770,Barcelona,Spain,15.80
1771,Barcelona,Spain,16.30
1772,Barcelona,Spain,17.21
1773,Barcelona,Spain,15.84
1774,Barcelona,Spain,16.33
1775,Barcelona,Spain,16.55
1776,Barcelona,Spain,16.10
1777,Barcelona,Spain,15.87
1778,Barcelona,Spain,16.38
1779,Barcelona,Spain,16.55
1780,Barcelona,Spain,16.78
1781,Barcelona,Spain,16.65
1782,Barcelona,Spain,15.55
1783,Barcelona,Spain,16.26
1784,Barcelona,Spain,15.83
1785,Barcelona,Spain,15.68
1786,Barcelona,Spain,16.03
1787,Barcelona,Spain,16.25
1788,Barcelona,Spain,16.67
1789,Barcelona,Spain,15.46
1790,Barcelona,Spain,16.36
1791,Barcelona,Spain,16.41
1792,Barcelona,Spain,16.22
1793,Barcelona,Spain,16.15
1794,Barcelona,Spain,16.28
1795,Barcelona,Spain,16.10
1796,Barcelona,Spain,16.07
1797,Barcelona,Spain,16.02
1798,Barcelona,Spain,16.19
1799,Barcelona,Spain,15.63
1800,Barcelona,Spain,16.63
1801,Barcelona,Spain,16.49
1802,Barcelona,Spain,16.72
1803,Barcelona,Spain,16.26
1804,Barcelona,Spain,16.71
1805,Barcelona,Spain,15.44
1806,Barcelona,Spain,16.40
1807,Barcelona,Spain,16.01
1808,Barcelona,Spain,14.96
1809,Barcelona,Spain,15.41
1810,Barcelona,Spain,15.40
1811,Barcelona,Spain,16.02
1812,Barcelona,Spain,15.00
1813,Barcelona,Spain,15.39
1814,Barcelona,Spain,14.86
1815,Barcelona,Spain,15.64
1816,Barcelona,Spain,14.81
1817,Barcelona,Spain,15.96
1818,Barcelona,Spain,16.29
1819,Barcelona,Spain,15.89
1820,Barcelona,Spain,15.73
1821,Barcelona,Spain,16.17
1822,Barcelona,Spain,16.70
1823,Barcelona,Spain,15.71
1824,Barcelona,Spain,16.05
1825,Barcelona,Spain,16.33
1826,Barcelona,Spain,15.95
1827,Barcelona,Spain,15.86
1828,Barcelona,Spain,16.53
1829,Barcelona,Spain,15.30
1830,Barcelona,Spain,15.97
1831,Barcelona,Spain,16.23
1832,Barcelona,Spain,15.92
1833,Barcelona,Spain,15.83
1834,Barcelona,Spain,16.68
1835,Barcelona,Spain,15.43
1836,Barcelona,Spain,15.50
1837,Barcelona,Spain,15.45
1838,Barcelona,Spain,15.86
1839,Barcelona,Spain,15.93
1840,Barcelona,Spain,15.77
1841,Barcelona,Spain,16.07
1842,Barcelona,Spain,15.88
1843,Barcelona,Spain,15.98
1844,Barcelona,Spain,15.95
1845,Barcelona,Spain,15.70
1846,Barcelona,Spain,16.64
1847,Barcelona,Spain,15.84
1848,Barcelona,Spain,15.66
1849,Barcelona,Spain,16.04
1850,Barcelona,Spain,15.65
1851,Barcelona,Spain,15.37
1852,Barcelona,Spain,16.39
1853,Barcelona,Spain,15.23
1854,Barcelona,Spain,15.62
1855,Barcelona,Spain,15.35
1856,Barcelona,Spain,16.21
1857,Barcelona,Spain,15.82
1858,Barcelona,Spain,16.20
1859,Barcelona,Spain,16.08
1860,Barcelona,Spain,15.01
1861,Barcelona,Spain,15.91
1862,Barcelona,Spain,16.41
1863,Barcelona,Spain,16.02
1864,Barcelona,Spain,15.97
1865,Barcelona,Spain,16.20
1866,Barcelona,Spain,16.53
1867,Barcelona,Spain,16.38
1868,Barcelona,Spain,16.30
1869,Barcelona,Spain,16.00
1870,Barcelona,Spain,15.90
1871,Barcelona,Spain,15.46
1872,Barcelona,Spain,15.93
1873,Barcelona,Spain,15.87
1874,Barcelona,Spain,15.87
1875,Barcelona,Spain,15.92
1876,Barcelona,Spain,16.19
1877,Barcelona,Spain,16.22
1878,Barcelona,Spain,16.22
1879,Barcelona,Spain,15.46
1880,Barcelona,Spain,16.25
1881,Barcelona,Spain,16.47
1882,Barcelona,Spain,16.29
1883,Barcelona,Spain,15.47
1884,Barcelona,Spain,15.65
1885,Barcelona,Spain,15.54
1886,Barcelona,Spain,15.51
1887,Barcelona,Spain,14.90
1888,Barcelona,Spain,15.24
1889,Barcelona,Spain,15.28
1890,Barcelona,Spain,15.14
1891,Barcelona,Spain,15.52
1892,Barcelona,Spain,15.97
1893,Barcelona,Spain,16.27
1894,Barcelona,Spain,15.83
1895,Barcelona,Spain,16.31
1896,Barcelona,Spain,15.42
1897,Barcelona,Spain,16.64
1898,Barcelona,Spain,16.16
1899,Barcelona,Spain,16.73
1900,Barcelona,Spain,16.24
1901,Barcelona,Spain,15.51
1902,Barcelona,Spain,15.99
1903,Barcelona,Spain,15.65
1904,Barcelona,Spain,16.40
1905,Barcelona,Spain,15.75
1906,Barcelona,Spain,15.76
1907,Barcelona,Spain,15.83
1908,Barcelona,Spain,16.05
1909,Barcelona,Spain,15.32
1910,Barcelona,Spain,15.62
1911,Barcelona,Spain,16.30
1912,Barcelona,Spain,15.80
1913,Barcelona,Spain,16.32
1914,Barcelona,Spain,15.81
1915,Barcelona,Spain,15.83
1916,Barcelona,Spain,15.97
1917,Barcelona,Spain,15.22
1918,Barcelona,Spain,15.41
1919,Barcelona,Spain,15.30
1920,Barcelona,Spain,16.28
1921,Barcelona,Spain,16.28
1922,Barcelona,Spain,15.94
1923,Barcelona,Spain,16.03
1924,Barcelona,Spain,16.15
1925,Barcelona,Spain,15.49
1926,Barcelona,Spain,16.61
1927,Barcelona,Spain,16.57
1928,Barcelona,Spain,16.74
1929,Barcelona,Spain,16.18
1930,Barcelona,Spain,16.50
1931,Barcelona,Spain,16.15
1932,Barcelona,Spain,15.84
1933,Barcelona,Spain,16.09
1934,Barcelona,Spain,16.37
1935,Barcelona,Spain,16.10
1936,Barcelona,Spain,16.03
1937,Barcelona,Spain,16.91
1938,Barcelona,Spain,16.17
